レベル1,レベル2,レベル3,レベル4,フィールド,フィールド詳細
奥方様は、今いらっしゃいますか？,奥さんは、今おいでになりますか？,奥さんは今いますか？,奥さんは今いる？,いる,
運良く、大先生はご自宅にいらっしゃいました。,幸いなことに、大先生はご在宅でした。,タイミングよく、大先生は家にいました。,タイミングよく、大先生は家にいた。,いる,
先生は只今、職員室におられます。,先生は今、職員室にいます。,先生は今、スタッフルームにいます。,先生は今、スタッフルームにいる。,いる,
その方でしたら、一時間ほど前からお見えになっておられます。,その方でしたら、一時間も前からお見えになっています。,その人は、一時間前にすでに来ています。,その人は、すでに一時間前に来ているよ。,いる,
まるこさん、お残りになって清掃してくださいませんか。,まるこさん、お残りでお掃除なさい。,まるこさん、お残りになってきれいにしてください。,まるこさん、残ってきれい片付けて。,いる,
お通夜の晩、最後までお残りになっていらしたんですか？,お通夜の晩、最後までお残りになっていらしたんですって？,お通夜の晩、最後まで残っていたののですか？,お通夜の晩、最後まで残っていたの？,いる,
肝心な時はいつもいらっしゃらないのですね、あなた様は。,肝心な時はいつもいらっしゃらないのね、あなたは。,肝心な時はいつもいないのですね、あなたは。,肝心な時はいつもいないのね、あなた。,いる,
配達に伺ったのですが、お留守のようでしたので持ち帰りました。,配達に伺ったのですが、お留守でしたので持ち帰りました。,配達に伺ったのですが、お留守だったので持ち帰りました。,配達に行ったけど、留守だったので持ち帰った。,いる,
ご主人はご不在ですか。それは残念でございます、出直しいたします。,ご主人はご不在ですか。それは残念、出直しましょう。,ご主人は不在ですか。それは残念、出直します。,ご主人は不在？それは残念、出直そう。,いる,
ご所在は、いつでもはっきりとさせておいてくださいませ。,ご所在は、いつでもはっきりさせておいてください。,所在は、いつでもはっきりさせておいてくださいな。,所在は、いつでもはっきりさせておいてね。,いる,
奇遇です。こちらにご在職でいらいっしゃましたか。,奇遇ですね。こちらにご在職でしたか。,奇遇ですね。こちらに在職でしたか。,奇遇だね。ここにご在職してたの。,いる,
その学会には、何年ほどご在籍なさったのですか。,その学会には、何年くらいご在籍なさったのですか。,その学会には、何年くらい在籍したのですか。,その学会には、何年くらい在籍したの。,いる,
福祉団体に十年もご在籍されていたのですか。,福祉団体に十年も在籍されていたのですか。,福祉団体に十年も在籍していたのですか。,福祉団体に十年も在籍していたの。,いる,
一部リーグのチームにご所属ですか、すごいです。,一部リーグのチームにご所属ですか、すごいですね。,一部リーグのチームに所属ですか、すごいですね。,一部リーグのチームに所属、すごいね。,いる,
お客様ご自身で見つけたいそうです。,お客様は、ご自分でお探しになりたいそうです。,お客さん自ら見つけたいそうです。,お客さんが自分で見つけたいって。,探す,
これは戦いです。相手の動向を注視される必要があります。,これは戦いです。敵の動静をお探りになる必要があります。,これは戦いです。相手の出方を見守る必要があります。,これは戦いです。相手の動きをみよう。,探す,
ついに、彼の弱点を発見されたのですね。,とうとう、彼の弱みをお見つけになったのね。,ついに彼の弱点を見つけたのですね。,ついに彼の弱点をみつけたね。,探す,
未解決事件が多くて、心労が絶えません。,迷宮入りの事件が多くて、心が痛みます。,未解決事件が多くて心が折れます。,未解決事件が多くて心が折れる。,探す,
この難題を解決なさるのは、あの探偵さん以外しかいらっしゃりません。,この謎を解明なさるのは、あの探偵さん以外いないわ。,この難題を解決出来るのはあの探偵さんしかいないです。,この難題を解決出来るのはあの探偵さんだけだ。,探す,
惨敗の要因はどこにあると思われますか？,惨敗の原因はどこにあるとご推測ですか？,散々たる負けの要因はどこにあると思いますか？,見事な負けっぷりの要因はどこだとおもう？,探す,
あなたのお考え通り、チームの闘争心はかなり落ちてしまいました。,あなたが推測なさ多様に、チームの志気はがた落ちでした。,あなたの思ったとおり、チームのムードはかなり落ちていました。,あなたの思った通り、チームのムードはかなり落ちていた。,探す,
そのご推測で、間違いはないと思います。,そのご推理で、ほぼ正しいと思います。,その推測に間違いはないかと思います。,その推測、間違ってないよ。,探す,
あなたは好んで推理されるのですね。,あなたはいろいろ推理なさるのが、お好きですね。,あなたは推理がかなり好きですね。,あなたは推理好きね。,探す,
いつも革新的な方面への探究心に脱帽いたします。,つねに新しい道のご探求、頭が下がります。,いつも革新的方面への探究心に感心します。,いつも革新的方面への目の付けどころがすごい。,探す,
先生は古い陶片から釉薬を研究されています。,先生は古い陶片から釉薬を探求なさっています。,先生は古い投薬から釉薬を調べています。,先生は古い釉薬から釉薬を調べている。,探す,
表現を追求されることは、苦に感じませんか？,表現を追求なさるのは、苦しくないですか？,表現の追求は苦しくないですか？,表現の追求は苦しくない？,探す,
白亜紀の恐竜の化石を発見されたそうですね。,白亜紀の恐竜の化石を発見なさったそうですね？,白亜紀の恐竜の化石を発見したそうですね？,白亜紀の恐竜の化石を発見したって？,探す,
新しい製品なんですが、お試しいたしませんか？,新製品なんですが、試食なさってみませんか？,新しい製品ですが、試してみませんか？,新しい製品だけど、試してみない？,探す,
こちらの桜は、前社長が創立記念に植樹されたものです。,この桜は、先代の社長が創立記念日に植えられたものです。,この桜は前社長が創立記念日に植樹したものです。,この桜、前の社長が創立記念日に植えたんだって。,作業,
盆栽いじりがお好きでしたか？,ご趣味は盆栽をおいじりになることでしたか？,盆栽いじりが好きでしたか？,盆栽いじりが好きだった？,作業,
池をなくして、代わりに果樹園になさるのですか？,池をお埋めになって、果樹園になさるんですか？,池を埋めて、果樹園にしますか？,池をなくして、果樹園にする？,作業,
そこは危険なので灰皿を安全な位置に置いて頂けますか？,灰皿をそんなところにお置きになると、危ないわ。,そこは危険なので、灰皿を安全な位置に置いて下さい。,そこに灰皿を置くのは危険だから安全な位置に置いて。,作業,
この種の猫は飼ったことがございますか？,このタイプの猫をお飼いになるのは、初めてですか？,この種の猫を飼ったことありますか？,この種の猫、飼った事ある？,作業,
こちらのバジル、バルコニーで摘まれたのですか？,このバジルはベランダでお摘みになったの？,このバジル、バルコニーで詰んだのですか？,このバジルは、バルコニーで摘んだの？,作業,
お庭に石を重ねられて、どうされるのですか？,庭に石をお積みになって、どうなさるの？,庭に石を重ねてどうするんですか？,庭に石を重ねてどうするの?,作業,
ご自身でお植えになった桜もだいぶ大きくなりましたね。,お手植えの桜も、随分大きくなりましたね。,手植えの桜もだいぶ大きくなりましたね。,手植えの桜もだいぶ大きくなったね。,作業,
庖丁を研がれるのがお得意とお聞きいたしました。,庖丁をお研ぎになるのが得意だそうですね。,包丁研ぎが得意と聞きました。,庖丁研ぎが得意なんだって？,作業,
では、シャンパンを開けて頂けませんか？,それではシャンパンをお抜きになってください。,では、シャンパンを開けて下さい。,では、シャンパンを開けて。,作業,
青色の外装にされたとお聞きいたしました。,外壁を青色にお塗りになったそうですね。,青色の外装にしたと聞きました。,青色の外装にしたんだって？,作業,
棚にバッグ等にお乗せ下さい。,お荷物は棚にお乗せ下さい。,棚にバッグ等乗せて下さい。,棚にバッグ等乗せてね。,作業,
障子をお張りになるのがお見事ですね。,障子をお張りになるのがお上手ですね。,障子張り、お見事。,障子張り、うまい。,作業,
今回は珍種の朝顔の種を植えたとお聞きいたしました。,今年は珍しい朝顔の種をお薪になったんですって？,今回は珍種の朝顔の種を植えたと聞きました。,今回は珍種の朝顔の種を植えたんだって？,作業,
大量の薪割りなど、別荘暮らしも色々大変かとお察しいたします。,薪を大量に割って、別荘ぐらしも大変そうですね。,大量の薪割りなど、別荘暮らしも体力勝負ですね。,大量の薪割り、別荘暮らしも楽じゃなさそうだね。,作業,
レース編みされるのですか？素晴らしいご趣味ですね。,お編みになるの？素敵なご趣味ね。,レース編みが趣味とは、素敵ですね。,レース編みが趣味なんて素敵。,作業,
あなたはお裁縫がお得意だから、とてもうらやましいです。,あなたはお裁縫がお上手だから羨ましいわ。,あなたは縫い物が得意で羨ましいです。,あなたは縫い物がうまくていいね。,作業,
そのショール、ご自身で染められたのですか？素敵な色です。,そのショール、ご自分で遅めになったの？いい色ね。,素敵な色のショール、自分で染めたんですか？,素敵な色のショール、自分で染めたの？,作業,
ワイシャツの畳み方にいつも感心いたしております。,いつも、ワイシャツをきれいにお畳みになってますね。,ワイシャツの畳み方がいつもきれいですね。,ワイシャツの畳み方がうまい。,作業,
暖かそうなマフラーは、お手製ですか？,お手製のマフラーですか、暖かそうですね。,暖かそうなマフラーは手作りですか？,暖かそうなマフラーは手作り？,作業,
ご自身でウェデングドレス縫製されたんですか？素晴らしいです。,ご自分でお縫いになったウェデングドレスで？まあ素敵。,お手製ウェデングドレスで？素晴らしいです。,お手製ウェデングドレスって？素晴らしすぎ。,作業,
どういうわけか、娘が縫製を習い始めました。,うちの娘、なぜかお針を習い始めたのよ。,なぜか、娘が縫い物を習い始めました。,なぜか、娘、縫い物習い始める。,作業,
お脱ぎ頂けますか。染みにならないようにすぐに洗わせて下さい。,お脱ぎになって。染みにならないようにすぐお洗いしますから。,染みにならないようにすぐに洗うので、脱いでください。,染みにならないようにすぐに洗うから脱いで。,作業,
セーターもご自身で洗われておられるのですか？,セーターも、ご自分でお洗いになるんですか？,セーターも自分で洗ってますか？,セーターも自分で洗ってる？,作業,
本日は久々の快晴で、洗濯物が良く乾きそうですね。,今日は久しぶりに、お洗濯日和ですね。,今日は久々に洗濯物が良く乾きそうですね。,今日は天気が良くて久々に洗濯物がよく乾きそうだね。,作業,
お洗濯はコインランドリーですか？,コインランドリーで洗濯なさっているんですか？,洗濯はコインランドリーですか？,洗濯はコインランドリーで？,作業,
どちらに洗濯物を干されていますか？,洗濯物は、どこにお干しになるんですか？,洗濯物干しはどこに？,洗濯物干しはどこ？,作業,
かつては井戸端で競技服をお濯ぎになっていたとお聞きいたしました。,昔は井戸端でユニホームをお濯ぎになったんですって。,かつては井戸端でユニホームをすすいでいたらしいです。,かつては井戸端でユニホームを濯いでいたらしい。,作業,
芋掘りですか？随分お汚しになられましたね。,芋掘りですか、随分お汚しになりましたね。,芋掘りですか？汚れが半端ないですね。,芋掘り？汚れっぷりが半端ないね。,作業,
毎朝、お香を焚かれるなんて、洒落ていますね。,毎朝お香をお焚きになるなんて、洒落てますね。,毎朝、お香焚きなんて素敵ですね。,毎朝、お香焚きなんて洒落てるわ。,作業,
そのようにおっしゃるお気持ち、私にも痛いほどよく分かります。,そうおっしゃるお気持ち、私にも痛いほどよく分かります。,そう言う気持ち、私のも痛いほどよく分かります。,そう言う気持ち、私にも痛いほど分かるよ。,心,気持ち
この際、お心を鬼になさってください。それがご子息のためですよ。,この際、お心を鬼になさい。それが息子さんのためですよ。,この際、心を鬼になさい。それが息子さんのためですよ。,この際、心を鬼にしな。それが息子さんのためだよ。,心,気持ち
さすがに他の方とはお心構えが違っていらっしゃいますね。,さすがに他の方とはお心構えが違いますね。,さすがに他の人とは心構えが違いますね。,さすがに他の人とは心構えが違うね。,心,気持ち
どうぞ、この事はお胸の内におしまいになってください。,どうぞ、この事はお胸の内におしまいになってください。,どうぞ、この事は胸の内にしまってください。,どうか、この事は胸の内にしまって。,心,気持ち
あの方、禁煙なさって一年だそうですよ、ご意志が固くていらっしゃいますね。,あの方、禁煙なさって一年だそうよ、ご意志が固いわね。,あの人、禁煙なさって一年だそうですよ、意志が固いですね。,あの人、禁煙して一年だそうよ、意志が固いわね。,心,気持ち
本日はご機嫌がうるわしくていらっしゃるようですね。,今日はご機嫌がよろしいようですね。,今日は機嫌がよいようですね。,今日は機嫌がよさそうだね。,心,気持ち
ご気分はいかがですか？／ご気分を悪くなさったのではありません？,ご気分はいかが？／ご気分を悪くなさったんじゃありません？,気分はいかが？／気分を悪くしたんじゃありません？,気分はどう？／気分を悪くしたんじゃない？,心,気持ち
父上として、ご子息をお思いになるご心情、お察しいたします。,父上として、ご子息を思うご心情、お察しします。,父として、息子さんを思う気持ち、わかります。,父として、息子を思う気持ち、わかるよ。,心,気持ち
ご心中、お察しいたします。,ご心中、お察しいたします。,気持ちは、わかります。,気持ちは、わかるよ。,心,気持ち
突然の訃報、ご胸中いかばかりかと…。,突然の訃報、ご胸中いかばかりかと…。,突然の訃報、気持ちはどんなものかと…。,突然の訃報、気持ちはどんなものかと…。,心,気持ち
受賞のご心境をお聞かせくださいませんか？,受賞のご心境をお聞かせくださいませんか？,受賞の心境を聞かせてくれませんか？,受賞の心境を聞かせてくれない？,心,気持ち
あなた様のご真意を計りかねております。,あなたのご真意を計りかねております。,あなたの真意を計りかねています。,あなたの真意を計りかねてる。,心,気持ち
先生は初めてご真情をお話になりました。,先生は初めてご真情をお話になりました。,先生は初めてご真情をお話になりました。,先生は初めてご真情をお話になった。,心,気持ち
実は、あなた様のご本意を計りかねております。,実は、あなたのご本意を計りかねております。,実は、あなたの真意を計りかねています。,実は、あなたの本意を計りかねてる。,心,気持ち
いずれがご本心なのか、見当もつきません。,どれがご本心なのか、見当もつきません。,どれが本心なのか、見当もつきません。,どれが本心なのか見当もつかない。,心,気持ち
あちら立てればこちらが立たずと、よく申しますでしょ？,あちら立てればこちらが立たずと、よく言いますでしょ？,あちら立てればこちらが立たずと、よく言いますでしょ？,あちら立てればこちらが立たずと、よく言うでしょ？,言葉,フォーマル
折に触れてこちらへもお出かけくださいな。／こちらへどうぞ。,たまにはこちらへもお出かけくださいな。／こちらへどうぞ。,たまにはこっちへも来てください。／こっちへどうぞ。,たまにはこっちにも来てね。／こっちへどうぞ。,言葉,フォーマル
そちらはもう桜が咲きましたか？／近々、そちらへ参ります。,そちらはもう桜が咲きましたか？／近々、そちらへ参ります。,そっちはもう桜が咲きましたか？／近々、そっちへ行きます。,そっちはもう桜が咲いた？／近々、そっちへ行くよ。,言葉,フォーマル
行列ができる鯛焼き屋さんは、どちらでしたでしょうか？,行列ができる鯛焼き屋さんは、どちらでしたっけ？,行列ができる鯛焼き屋さんは、どっちでしたっけ？,行列ができる鯛焼き屋さんは、どっちだっけ？,言葉,フォーマル
ご予算はいかほどでございますか？,ご予算はいかほどでしょうか？,予算はいくらぐらいでしょうか？,予算はいくらぐらい？,言葉,フォーマル
些少でございますが、どうぞお納めください。,些少ですが、どうぞお納めください。,少しですが、どうぞ受け取ってください。,少しだけど、どうぞ受け取って。,言葉,フォーマル
少々お待ちください。呼んで参ります。／お客様には少々素朴かと存じます。,少々おまちください。呼んで参ります。／お客様には少々お地味では？,ちょっと待ってください。呼んできます。／お客様には少々地味では？,ちょっと待って。呼んでくる。／お客さんにはちょっと地味じゃない？,言葉,フォーマル
この度、ひとかたならぬお世話になりまして…。,この度、ひとかたならぬお世話になりまして…。,この度、大変お世話になりまして…。,今回、すごくお世話になって…。,言葉,フォーマル
ご時世でしょうか、先輩の言うことを聞かないと申しますのも。,ご時世ですかね、先輩の言うことを聞かないというのも。,ご時世ですかね、先輩の言うことを聞かないというのも。,ご時世かな、先輩の言うことを聞かないっていうのも。,言葉,フォーマル
ご時勢に逆らいますと、よろしくないことになりかねないものです。,ご時勢に逆らうと、ろくなことがありませんよ。,ご時勢に逆らうと、ろくなことがありませんよ。,ご時勢に逆らうと、ろくなことがないよ。,言葉,フォーマル
その節は、大変失礼いたしました。,いつぞやは、大変失礼いたしました。,先日は、大変失礼しました。,この間はごめんね。,言葉,フォーマル
久しくお立ち寄りになりませんでしたね。,久しくお顔をお見せになりませんでしたね。,久しく顔を見せませんでしたね。,ずいぶん顔を見せなかったね。,言葉,フォーマル
先ほどからのお話、一両日検討させてください。,先ほどからのお話、一両日考えさせてください。,さっきからの話、一両日考えさせてください。,さっきからの話、一両日考えさせて。,言葉,フォーマル
この度は、諸々のご配慮をいただきまして…。,この度は、いろいろご心配いただきまして…。,今回は、いろいろご心配いただきまして…。,今回は、いろいろ心配してもらって…。,言葉,フォーマル
今朝ほど、御社の課長がお見えになりました。,今朝ほど、御社の課長さんがお見えになりました。,今朝ほど、御社の課長がお見えになりました。,今朝、あなたの会社の課長がお見えになったよ。,言葉,フォーマル
生憎ですが、さほど時間がございません。,お生憎様、そんなに暇じゃありませんよ。,お生憎様、そんなに暇じゃありませんよ。,お生憎様、そんなに暇じゃないよ。,言葉,啖呵
それでは、準備が整いましてございます。,それではお後がよろしいようで。,それでは、お後がよろしいようで。,それでは、後がよろしいようで。,言葉,啖呵
急なご用のない方は、お立ち寄りください。,ご用とお急ぎでない方は、寄ってきな。,ご用とお急ぎでない方は、寄っていってください。,ご用とお急ぎでない人は、寄って行って。,言葉,啖呵
さあ案の定、出てまいりました。,そうら案の定、お出でなすった。,そうら案の定、出てきました。,そうら案の定、お出でなすった。,言葉,啖呵
お見合いをせよとのことですが、お気持ちだけ頂戴いたします。,見合いしろなんて、大きなお世話だわ。,見合いをしろなんて、大きなお世話です。,見合いしろなんて、大きなお世話だわ。,言葉,啖呵
それを仰られますと、返す言葉もございません。,それを言っちゃあ、お終いよ。,それを言ったらお終いですよ。,それを言っちゃあ、お終いよ。,言葉,啖呵
さあさあ、お代はご覧になってお気に召しましたらお帰りの際にお支払いください。,さあさ、お代は見てのお帰りだよ！,さあさ、お代は見てのお帰りですよ！,さあさ、お代は見てのお帰りだよ！,言葉,啖呵
さあ、お立合いください。取り出しましたのは氷の刃でございます。,さあ、お立合い。取り出しましたるは氷の刃。,さあ、お立合い。取り出しましたるは氷の刃です。,さあ、お立合い。取り出しましたるは氷の刃。,言葉,啖呵
そのようなこと、あなた様にとりましては、役不足かと存じます。,そんなこと、君にとっちゃ、お茶の子さいさいだろ。,そんなこと、あなたにとっては簡単でしょう。,そんなこと、君にとっちゃ、お茶の子さいさいだろ。,言葉,啖呵
ひとまず、お手並み拝見と参りましょう。,とりあえず、お手並み拝見といきましょう。,とりあえず、お手並み拝見といきましょう。,とりあえず、お手並み拝見といこう。,言葉,啖呵
さあ主役の登場です、拍手でお迎えください。,さあ御大のお出ましだ、頭が高い。,さあ主役の登場です。拍手をどうぞ。,さあ御大のお出ましだ、頭が高い。,言葉,啖呵
それでは皆様、お手を拝借いたします。一本締めでございます、ヨッ！,それでは皆さん、お手を拝借。一本締めで、ヨッ！,それでは皆さん、お手を拝借。一本締めで、ヨッ！,それでは皆さん、お手を拝借。一本締めで、ヨッ！,言葉,啖呵
さあて、うまくいきますかどうか分かりませんが。,さあて、うまくいったらお慰み。,さあて、うまくいったらお慰みです。,さあて、うまくいったらお慰み。,言葉,啖呵
そのままでは生活が立ちゆきません。,そのままじゃあ、おまんまの食い上げだ。,そのままでは、生活が立ちゆきません。,そのままじゃあ、おまんまの食い上げだ。,言葉,啖呵
その件、お引き受けいたします。,そんなことはお安いご用さ。,そんなことはお安いご用です。,そんなことはお安いご用さ。,言葉,啖呵
お二人とも、仲がよろしくてうらやましく存じます。,いよっ！ご両人、お安くないねぇ。,あら、お二人ともお安くないですね。,やあ、ご両人、お安くないね。,言葉,啖呵
お呼びではありませんでしたか。これは失礼いたしました。,お呼びでない、こりゃまた失礼いたしました！,お呼びでなかったですか、これは失礼しました！,お呼びでない、こりゃまた失礼！,言葉,啖呵
今さら悔いても始まりません、大変つまらないことでございます。,今さら悔いても始まらない、とんだお笑いぐさだよ。,今さら悔いても始まりません、とんだお笑いぐさですよ。,今さら悔いても始まらない、とんだお笑いぐさだよ。,言葉,啖呵
ギャンブルは元が取れれば、ありがたいものです。,博打は元がとれりゃあ、御の字でさぁ。,博打は元が取れれば、御の字ですよ。,博打は元がとれりゃあ、御の字だよ。,言葉,啖呵
うまく回りましたら、ご喝采いただけますと幸いです。,うまく回りましたら、ご喝采！,うまく回ったら、ご喝采ですよ。,うまく回ったら、ご喝采！,言葉,啖呵
さあ、ただいま戻りました。,お～い、ご主人様のご帰還だぞぅ。,さあ、ただいま戻りました。,ただいま。,言葉,啖呵
本当ですか、にわかには信じられません。,ご冗談でしょ、お日さんが西から昇らあ。,冗談でしょ、それが本当なら太陽が西から昇りますよ。,冗談でしょ、それが本当なら太陽が西から昇るよ。,言葉,啖呵
ご存じありませんでしたか、あまりご縁のないことでいらっしゃるようですからね。,うかつだねぇ、芋の煮えたもご存じない。,うかつでしたね、ちょっと世間知らずですよ。,うかつだね、芋の煮えたもご存じないのかい。,言葉,啖呵
お静かに、お話はここまでにいたしましょう。,うるせえな、何だかんだとご託を並べやがって。,うるさいですね、何だかんだとご託を並べないでください。,うるさいな、何だかんだとご託を並べないで。,言葉,啖呵
おや？仲睦まじくていらっしゃいますね、ご馳走様です。,あれ？お惚気ですかい、ご馳走様。,あれ、惚気ですか、ご馳走様です。,あれ？惚気かな、ご馳走様。,言葉,啖呵
何とも大変でいらっしゃいますね。,何ともご苦労なこった！,何とも大変ですね。,何ともご苦労なことだね。,言葉,啖呵
ご注進、ご注進と、掛け声だけは立派なんですよ、あの方は。,ご注進、ご注進って、掛け声だけなんだ、あいつは。,ご注進、ご注進って、掛け声だけなんですよ、あの人は。,ご注進、ご注進って、掛け声だけなんだ、あいつは。,言葉,啖呵
あまり縁起ばかりを気になさるのもいかがかと存じます。,ご幣を担ぐのも大概にしろよ。,ご幣を担ぐのもほどほどにしましょうよ。,ご幣を担ぐのも大概にしろよ。,言葉,啖呵
やり方はさまざまございますので、仕上がりでご判断いただけると幸いです。,細工は流々、仕上げをご覧じろ。,やり方はいろいろあるので、出来上がりで判断してもらえますか。,やり方に口を挟まないで、出来上がりで判断して。,言葉,啖呵
過分なお言葉、恐縮でございます。,歯の浮くようなほめ言葉、まっぴらごめんです。,お世辞は結構です。,お世辞はいらないよ。,言葉,啖呵
生憎ですが、食事を済ませたばかりでございまして。,生憎、食事を済ませたばかりでして。,生憎、食事を済ませたばかりなんです。,生憎、食事を済ませたばかりでね。,断る,
保証期間後の交換は、致しかねます。,保証期間後の交換は、致しかねます。,保証期間後の交換は、できません。,保証期間後の交換は、できないよ。,断る,
どうぞお帰りください。マンションの建設には断固反対いたします。,どうぞお帰りください。マンションの建設には絶対反対です。,どうぞ帰ってください。マンションの建設には絶対反対です。,どうぞ帰って。マンションの建設には絶対反対だ。,断る,
せっかくでございますが、ご遠慮させていただきます。／固くお断りいたします。,せっかくですが、お断りします。／固くお断りいたします。,せっかくですが、お断りします。／固くお断りします。,せっかくだけど、断るよ。／固く断るよ。,断る,
ご参加が難しいのであれば、お断りになればよろしいかと存じます。,行きたくないんだったら、お断りになればいいじゃないの。,行きたくないんだったら、お断りすればいいじゃないですか。,行きたくないんだったら、断ればいいのに。,断る,
残念ではございますが、お力添えいたしかねます、ご了承くださいませ。,残念ですが、お力になれません、悪しからず。,残念ですが、力になれません、悪しからず。,残念だけど、力になれないよ、ごめんね。,断る,
本日のところは、どうぞお引き取りくださいますようお願いいたします。,今日のところは、どうぞお引き取りください。,今日のところは、どうぞ帰ってください。,今日のところは、どうか帰って。,断る,
この度は、お役に立てず、遺憾でございます。,この度は、お役に立てなくて残念です。,今回は、お役に立てなくて残念です。,今回は、役に立てなくて残念だ,断る,
残念ですが、今回はご希望に添いかねます。,残念ですが、今回はご希望に添いかねます。,残念ですが、今回は希望に添えません。,残念だけど、今回は希望に添えないよ。,断る,
以後のお取引は、ご遠慮申し上げます。,以後のお取引は、ご遠慮申し上げます。,以後の取引は、遠慮します。,これからの取引は、できないよ。,断る,
そのような業務につきましては、対応いたしかねます。,そういう仕事は、ごめんこうむります。,そういう仕事は、ごめんこうむります。,そういう仕事は、ごめんこうむるよ。,断る,
その件につきましては、生憎ですがご辞退申し上げます。,その件については、はっきりご辞退申しあげます。,その件については、はっきり辞退します。,その件については、はっきり辞退する。,断る,
あのようなよい話を辞退なさるとは、惜しいことをなさいます。,あんないい話を辞退なさるなんて、もったいない！,あんないい話を辞退するなんて、もったいないですね。,あんないい話を辞退するなんてもったいない！,断る,
先生は、特別扱いを固辞なさいました。,先生は、特別扱いを固辞なさいました。,先生は、特別扱いを固辞しました。,先生は特別扱いを固辞した。,断る,
ありがたいお話をありがとうございます。身に沁みました。,お説教はもう結構です。,お説教はもういいです。,お説教はもういいよ。,断る,
こちらの槍ヶ岳はどちらの辺りからお描きになられましたのでしょうか？,この槍ヶ岳は、どのあたりからお描きになったんですか？,この槍ヶ岳はどの辺りから描きましたか？,この槍ヶ岳はどの辺から描いたの？,作品,
こちらの方が表紙の絵を描かれる画伯でいらっしゃいます。,こちらが表紙の絵を描かれる画伯です。,こちらが表紙の絵を描かれる画伯です。,この方が表紙の絵を描かれる画伯だよ。,作品,
先生のお作を、いつも楽しく拝見しております。,先生のお作を、いつも楽しく拝見しております。,先生の作品を、いつも楽しく見せていただいています。,先生の作品は、いつも楽しくみせてもらってるよ。,作品,
この百号は、画伯が一年をかけたご労作でございます。,この百号は、画伯が一年をかけたご労作です。,この百号は、画伯が一年をかけたご労作です。,この百号は、画伯が一年をかけた労作だよ。,作品,
春までには、ぐい呑みをお作りいたします。,春までには、ぐい呑みをお作りいたします。,春までには、ぐい呑みを作ります。,春までには、ぐい呑みを作るよ。,作品,
今度の応援歌、先生がお作りになったのですね。,今度の応援歌、先生がお作りになったんですね。,今度の応援歌、先生が作ったんですね。,今度の応援歌、先生が作ったんだってね。,作品,
街のイラストマップをお作りになったのですって？,街のイラストマップを作られたんですって？,街のイラストマップを作られたんですって？,街のイラストマップを作ったんだって？,作品,
ついに、ご新居がご完成！　おめでとうございます。,ついに、新居がご完成！　おめでとうございます。,ついに、新居がご成！　おめでとうございます。,ついに、新居がご完成！　おめでとう！,作品,
ついに、念願の一号機が完成なさいましたね。,ついに、念願の一号機が完成なさいましたね。,ついに、念願の一号機が完成しましたね。,ついに、念願の一号機が完成したね。,作品,
肌つやもぴかぴかで、見事なお仕上がりですね、先生！,肌つやもぴかぴかで、見事なお仕上がりですね、先生！,肌つやもぴかぴかで、見事な仕上がりですね、先生！,肌つやもぴかぴかで、いい仕上がりだね、先生！,作品,
お写真だけでもご覧になっていただけませんか？,お写真だけでもご覧になっていただけませんか？,写真だけでも見ていただけませんか？,写真だけでも見てもらえない？,作品,
お宮参りのお写真をお写しになったのですね。,お宮参りの写真をお写しになったのですね。,お宮参りの写真を移したんですね。,お宮参りの写真を写したんだね。,作品,
皆さんお並びください。私がお撮りしましょう。,皆さん並んでください。私がお撮りしましょう。,皆さん並んでください。私が撮りしましょう。,並んでよ。私が撮るよ。,作品,
桜を追いかけて、お撮りになっているんですか？,桜を追いかけて、お撮りになっているんですか？,桜を追いかけて、撮っているんですか？,桜を追いかけて、撮っているの？,作品,
三十年かけてインドの祭りを撮影なさったとか…。,三十年かけてインドの祭りを撮影なさったとか…。,三十年かけてインドの祭りを撮影したとか…。,三十年かけてインドの祭りを撮影したとか…。,作品,
小犬にかまれたくらいでお訴えになるのは、どうかと思いますよ。,小犬にかまれたくらいでお訴えになるのは、どうかと思いますよ。,小犬にかまれたくらいで訴えるのは、どうかと思いますよ。,小犬にかまれたくらいで訴えるのは、どうかと思うよ。,裁く,裁判
部長は、けんか両成敗でお裁きになりました。,部長は、けんか両成敗でお裁きになりました。,部長は、けんか両成敗で裁いた。,部長は、けんか両成敗で裁いた。,裁く,裁判
ここまで来たら、会長さんにご裁断を仰ぐしかありませんな。,ここまで来たら、会長さんにご裁断を仰ぐしかありませんな。,ここまで来たら、会長さんに決めてもらうしかありませんな。,ここまで来たら、会長さんに決めてもらうしかないね。,裁く,裁判
社長、見事なご裁決でした。,社長、見事なご裁決でした。,社長、見事なご決定でした。,社長、見事な決定だった。,裁く,裁判
裁決なさるのは、あの名判事でございますね。,裁決なさるのは、あの名判事ですね。,裁決するのは、あの名判事ですね。,決めるのは、あの名判事だね。,裁く,裁判
そんなにもめるのであれば、採決なさったらいかがですか？,そんなにもめるんなら、採決なさったらいかがですか？,そんなにもめるなら、決めたらどうですか？,そんなにもめるんなら、決めたらどう？,裁く,裁判
覚悟はしております。どうかご裁定を下していただきたい。,覚悟はしております。どうかご裁定を下していただきたい。,覚悟はしています。どうかご裁定を下してもらいたい。,覚悟はしてます。どうか決めてもらいたい。,裁く,裁判
